window_id,model,patch_count,window_decision,window_reason,call_seconds,prompt_tokens,completion_tokens,total_tokens,patch_decision_counts,error
R8001_M8004:30:4,deepseek-v4-flash,14,quarantine,proxy_risk_window,13.793,5396,2259,7655,quarantine 14,
R8008_M8013:30:7,deepseek-v4-flash,13,quarantine,multiple_proxy_flags,19.304,5005,2621,7626,quarantine 13,
R8001_M8004:30:9,deepseek-v4-flash,11,quarantine,proxy_risk_window_cross_model_disagreement_high,9.418,4400,1694,6094,quarantine 11,
R8001_M8004:30:12,deepseek-v4-flash,11,quarantine,deployable_proxy_risk_window,14.336,4314,2118,6432,quarantine 11,
R8001_M8004:30:5,deepseek-v4-flash,10,quarantine,deployable_proxy_flags_and_cross_model_disagreement,17.054,4048,1932,5980,quarantine 10,
R8003_M8001:30:11,deepseek-v4-flash,7,quarantine,proxy_risk_window_with_mismatch_and_overflow,9.713,2367,1501,3868,quarantine 7,
R8001_M8004:30:6,deepseek-v4-flash,6,quarantine,high_proxy_risk_window,8.607,2518,1362,3880,quarantine 6,
R8001_M8004:30:13,deepseek-v4-flash,6,quarantine,cross_model_speaker_count_mismatch_and_pred_speech_too_long,10.748,2138,1169,3307,quarantine 6,
R8001_M8004:30:8,deepseek-v4-flash,5,quarantine,multiple_deployable_proxy_flags_and_slow_fast_disagreement,7.701,2082,1207,3289,quarantine 5,
R8007_M8011:30:2,deepseek-v4-flash,5,quarantine,deployable_proxy_flags_high_risk,9.846,2387,1245,3632,quarantine 5,
R8007_M8011:30:9,deepseek-v4-flash,5,quarantine,window_has_deployable_proxy_flags,6.672,2390,1135,3525,quarantine 5,
R8008_M8013:30:6,deepseek-v4-flash,5,quarantine,cross_model_disagreement_high_proxy_flags,9.77,2054,1260,3314,quarantine 5,
R8003_M8001:30:13,deepseek-v4-flash,4,quarantine,slow_proxy_window_requires_quarantine,9.915,1486,970,2456,quarantine 4,
R8008_M8013:30:8,deepseek-v4-flash,4,quarantine,deployable_proxy_flags,5.956,1762,911,2673,quarantine 4,
R8001_M8004:30:3,deepseek-v4-flash,3,quarantine,proxy_risk_window,16.407,1264,2027,3291,quarantine 3,
R8003_M8001:30:3,deepseek-v4-flash,3,quarantine,multiple_proxy_flags_and_speaker_count_mismatch,6.794,1425,670,2095,quarantine 3,
R8003_M8001:30:8,deepseek-v4-flash,3,quarantine,slow_proxy_risk_window_requires_quarantine,8.107,1439,975,2414,quarantine 3,
R8007_M8010:30:1,deepseek-v4-flash,3,quarantine,cross_model_speaker_count_mismatch_and_pred_speech_too_long,8.181,1419,1124,2543,quarantine 3,
R8007_M8011:30:3,deepseek-v4-flash,3,quarantine,deployable_proxy_abnormal_flags,4.497,1261,710,1971,quarantine 3,
R8007_M8011:30:4,deepseek-v4-flash,3,quarantine,slow_proxy_window_requires_review,12.045,1262,1375,2637,defer 1 / quarantine 2,
R8008_M8013:30:11,deepseek-v4-flash,3,quarantine,speaker_count_mismatch_and_speech_too_long,7.631,1392,1065,2457,quarantine 3,
R8008_M8013:30:13,deepseek-v4-flash,3,quarantine,deployable_proxy_risk_window,10.972,1371,1286,2657,quarantine 3,
R8009_M8018:30:3,deepseek-v4-flash,3,quarantine,proxy_flags_triggered_quarantine,8.621,1372,1075,2447,quarantine 3,
R8009_M8020:30:3,deepseek-v4-flash,3,quarantine,deployable_proxy_flag_present,17.984,1323,2260,3583,accept 2 / quarantine 1,
