counter_fallback_blocked_by_speaker_count,counter_fast_guard_fallback_windows,counter_fast_speaker_count,counter_guard_or_quarantine_patches,counter_rare_audio_rule_recover_windows,counter_rare_short_slow_rule_recover_windows,counter_slow_speaker_count,counter_slow_windows_selected,counter_window_clip_adjusted_segments,counter_window_clip_trimmed_ms,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,0,3,0,0,0,3,1,1,392,0.1221,0.4838876724243164,0.0368,8,slow,120.0,R8008_M8013,0,22.80671215057373,R8008_M8013:30:0,30
0,0,3,0,0,0,3,1,,,0.1723,0.39270806312561035,0.0771,9,slow,210.0,R8008_M8013,1,25.229944944381714,R8008_M8013:30:1,30
0,0,3,0,0,0,2,1,1,392,0.2364,0.37102222442626953,0.2265,10,slow,390.0,R8008_M8013,2,23.46504306793213,R8008_M8013:30:2,30
0,0,1,0,0,0,2,1,1,392,0.1271,0.41837215423583984,0.1117,8,slow,840.0,R8008_M8013,3,24.73685097694397,R8008_M8013:30:3,30
0,0,2,0,0,0,2,1,1,392,0.2592,0.3964858055114746,0.2039,8,slow,870.0,R8008_M8013,4,24.64874005317688,R8008_M8013:30:4,30
0,0,3,0,0,0,4,1,1,392,0.3157,0.390869140625,0.1516,16,slow,1020.0,R8008_M8013,5,22.21824598312378,R8008_M8013:30:5,30
0,0,2,0,0,0,3,1,1,392,0.4012,0.36956071853637695,0.2471,22,slow,1080.0,R8008_M8013,6,24.5941321849823,R8008_M8013:30:6,30
0,0,1,0,0,0,3,1,2,424,0.7929,0.42270708084106445,0.159,16,slow,1200.0,R8008_M8013,7,23.06705403327942,R8008_M8013:30:7,30
0,0,2,0,0,0,3,1,1,392,0.4495,0.39168691635131836,0.3288,24,slow,1230.0,R8008_M8013,8,24.707134008407593,R8008_M8013:30:8,30
0,0,2,0,0,0,3,1,1,392,0.1744,0.3896040916442871,0.1044,12,slow,1440.0,R8008_M8013,9,24.305092096328735,R8008_M8013:30:9,30
0,0,3,0,0,0,3,1,1,392,0.2696,0.45487213134765625,0.2261,11,slow,1530.0,R8008_M8013,10,23.354254007339478,R8008_M8013:30:10,30
0,0,1,0,0,0,3,1,1,133,0.2129,0.4233829975128174,0.1771,10,slow,1740.0,R8008_M8013,11,24.520829916000366,R8008_M8013:30:11,30
0,0,2,0,0,0,4,1,2,404,0.2737,0.3628818988800049,0.1399,8,slow,1980.0,R8008_M8013,12,24.932341814041138,R8008_M8013:30:12,30
0,0,3,0,0,0,3,1,1,392,0.2971,0.36641383171081543,0.2109,19,slow,2130.0,R8008_M8013,13,27.970037937164307,R8008_M8013:30:13,30
0,0,2,0,0,0,3,1,1,392,0.1964,0.3941349983215332,0.0994,7,slow,2160.0,R8008_M8013,14,25.52512216567993,R8008_M8013:30:14,30
