beats_slow,choice_counts,delta_vs_fast,delta_vs_fast_pp,delta_vs_slow,delta_vs_slow_pp,fallback_blocked_by_speaker_count,false_variant,fast_der,feature,final_der,op,policy_id,policy_kind,slow_der,threshold,true_variant,windows
True,"{'slow_base': 119, 'fast_base': 1}",0.11973666666666644,11.973666666666643,0.002908333333333346,0.2908333333333346,1,slow_base,0.28563749999999977,guard_count+speaker_count,0.16590083333333333,speaker_count_safe_guard,if_guard_count_>=_19_and_fast_spk_>=_slow_spk_then_fast_base_else_slow_base,speaker_count_safe_guard,0.16880916666666668,19.0,fast_base,120
True,"{'slow_base': 119, 'fast_base': 1}",0.11973666666666644,11.973666666666643,0.002908333333333346,0.2908333333333346,1,slow_base,0.28563749999999977,guard_count+speaker_count,0.16590083333333333,speaker_count_safe_guard,if_guard_count_>=_9.5_and_fast_spk_>=_slow_spk_then_fast_base_else_slow_base,speaker_count_safe_guard,0.16880916666666668,9.5,fast_base,120
True,"{'slow_base': 118, 'fast_base': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_19_then_fast_base_else_slow_base,stump,0.16880916666666668,19.0,fast_base,120
True,"{'slow_base': 118, 'rule_recover_matched_label': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_19_then_rule_recover_matched_label_else_slow_base,stump,0.16880916666666668,19.0,rule_recover_matched_label,120
True,"{'slow_base': 118, 'rule_recover_policy_sweep_best': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_19_then_rule_recover_policy_sweep_best_else_slow_base,stump,0.16880916666666668,19.0,rule_recover_policy_sweep_best,120
True,"{'slow_base': 118, 'rule_recover_uncovered_only': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_19_then_rule_recover_uncovered_only_else_slow_base,stump,0.16880916666666668,19.0,rule_recover_uncovered_only,120
True,"{'slow_base': 118, 'fast_base': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_9.5_then_fast_base_else_slow_base,stump,0.16880916666666668,9.5,fast_base,120
True,"{'slow_base': 118, 'rule_recover_matched_label': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_9.5_then_rule_recover_matched_label_else_slow_base,stump,0.16880916666666668,9.5,rule_recover_matched_label,120
True,"{'slow_base': 118, 'rule_recover_policy_sweep_best': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_9.5_then_rule_recover_policy_sweep_best_else_slow_base,stump,0.16880916666666668,9.5,rule_recover_policy_sweep_best,120
True,"{'slow_base': 118, 'rule_recover_uncovered_only': 2}",0.11808999999999975,11.808999999999974,0.001261666666666661,0.1261666666666661,,slow_base,0.28563749999999977,guard_count,0.16754750000000002,>=,if_guard_count_>=_9.5_then_rule_recover_uncovered_only_else_slow_base,stump,0.16880916666666668,9.5,rule_recover_uncovered_only,120
