policy_id,recording_id,window_size,segment_idx,collar,pred_signature,success,der,miss_rate,fa_rate,conf_rate,pred_segments,pred_speech_sec
slow,R8001_M8004,30,0,0.000000,52a9cf21b9f505bef8e4064febd3791e370dc9bd,True,0.0891,0.0521,0.037,0.0,7,32.78
slow,R8001_M8004,30,1,0.000000,77b7c57eea839386b72f47fe930bc5b98596a8ed,True,0.2578,0.0558,0.0158,0.1863,10,33.64
slow,R8001_M8004,30,2,0.000000,16b3525c6e9adefcbdc097a1e665b01dd1e9c591,True,0.0935,0.0615,0.0306,0.0015,9,28.539999999999996
slow,R8001_M8004,30,3,0.000000,700fa1127a4589ba11793bd06308f3f796034178,True,0.0417,0.0114,0.0226,0.0077,9,31.3475
slow,R8001_M8004,30,4,0.000000,cab8412d9608d572ddc6987e078c86351ff55152,True,0.3244,0.0752,0.03,0.2192,24,46.50000000000001
slow,R8001_M8004,30,5,0.000000,81824adba320c2f75da24eff817b0decb7da9643,True,0.2321,0.1399,0.0415,0.0506,17,49.334999999999994
slow,R8001_M8004,30,6,0.000000,710471bc902309e7ad53bfb206205a92233c82ec,True,0.3184,0.1473,0.0604,0.1107,21,48.38750000000002
slow,R8001_M8004,30,7,0.000000,416c68c27270fa96c5c0b1fa036950e61d21b891,True,0.0732,0.0572,0.0095,0.0064,11,26.7875
slow,R8001_M8004,30,8,0.000000,643654ab93b55a6b4c378f8ed5d086283fa3c6e1,True,0.2471,0.1474,0.0101,0.0896,14,46.480000000000004
slow,R8001_M8004,30,9,0.000000,b937f1bd6c6e2e9d9b3713c84974dc32fceea4bf,True,0.122,0.0971,0.0145,0.0104,17,42.4875
slow,R8001_M8004,30,10,0.000000,2948c5779e9176e1b164a8069a860bb9d1d5c1d6,True,0.1242,0.0873,0.0234,0.0135,19,36.5475
slow,R8001_M8004,30,11,0.000000,2baeb4dfe3d6c156f8b2bd16e6dcb226e1d25c52,True,0.1746,0.0333,0.0282,0.1131,16,39.787499999999994
slow,R8001_M8004,30,12,0.000000,ac17e999784ff3df9917e9a198eb284c60763e79,True,0.3042,0.0647,0.018,0.2215,12,48.735
slow,R8001_M8004,30,13,0.000000,54e68eb793d0d66a80dafbbe48bc3c5217f6b0a5,True,0.1448,0.0887,0.0407,0.0154,18,32.36749999999999
