recording_id,window_size,segment_idx,variant,success,der,miss_rate,fa_rate,conf_rate,scored_time,spk_count_pred,spk_count_gt,spk_match,pred_segments,pred_speech_sec
R8001_M8004,30,0,fast_base,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,fast_base_speaker_union,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,slow_base,True,0.0891,0.0521,0.037,0.0,33.28,3,3,True,7,32.78
R8001_M8004,30,0,rule_recover_new_label,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_recover_matched_label,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_recover_matched_label_speaker_union,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_recover_matched_no_same_overlap,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_recover_uncovered_only,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_recover_uncovered_only_speaker_union,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_recover_identity_selector,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_recover_policy_sweep_best,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_boundary_recover,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_boundary_recover_speaker_union,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,0,rule_boundary_recover_no_same_overlap,True,0.229,0.1614,0.0123,0.0553,33.28,2,3,False,8,28.32
R8001_M8004,30,1,fast_base,True,0.4329,0.2303,0.0063,0.1963,35.04,2,4,False,6,27.19
R8001_M8004,30,1,fast_base_speaker_union,True,0.4329,0.2303,0.0063,0.1963,35.04,2,4,False,6,27.19
R8001_M8004,30,1,slow_base,True,0.2578,0.0558,0.0158,0.1863,35.04,3,4,False,10,33.64
R8001_M8004,30,1,rule_recover_new_label,True,0.3584,0.1544,0.0183,0.1857,35.04,3,4,False,7,30.27
