window_id,patch_id,recording_id,window_size,segment_idx,patch_type,gate_category,action,variant,final_source,duration,support_ratio,gate_blockers,abnormal_flags,decision,reason
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_0,R8009_M8020,30,0,boundary_fix_or_relabel,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,5.36,0.9977,,,accept,slow_supports_fast_with_boundary_or_label_update
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_1,R8009_M8020,30,0,boundary_fix_or_relabel,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,3.5999999999999988,0.9757,,,accept,slow_supports_fast_with_boundary_or_label_update
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_2,R8009_M8020,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,0.879999999999999,0.9233,,,accept,fast_segment_cross_model_supported
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_3,R8009_M8020,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,1.5199999999999996,0.9819,,,accept,fast_segment_cross_model_supported
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_4,R8009_M8020,30,0,keep_fast_supported,rule_accept_needs_review,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,0.5599999999999987,1.0,short_duration,,accept,fast_segment_cross_model_supported
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_5,R8009_M8020,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,3.76,1.0,,,accept,fast_segment_cross_model_supported
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_6,R8009_M8020,30,0,keep_fast_supported,rule_accept_needs_review,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,0.5599999999999987,0.8795,short_duration,,accept,fast_segment_cross_model_supported
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_7,R8009_M8020,30,0,boundary_fix_or_relabel,rule_accept_needs_review,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,6.559999999999999,0.5549,low_cross_model_support,,accept,slow_supports_fast_with_boundary_or_label_update
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_8,R8009_M8020,30,0,keep_fast_supported,rule_auto_writeback,accepted_by_gate_not_applied_by_conservative_variant,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,1.120000000000001,0.8326,,,accept,fast_segment_cross_model_supported
R8009_M8020:30:0,R8009_M8020:30:0:fast:fast_9,R8009_M8020,30,0,keep_fast_supported,rule_accept_needs_review,blocked_or_deferred,slow_guarded_fast_fallback_rare_audio_rule_recover,slow,0.3099999999999987,1.0,short_duration,,accept,fast_segment_cross_model_supported
