counter_fallback_blocked_by_speaker_count,counter_fast_guard_fallback_windows,counter_fast_speaker_count,counter_guard_or_quarantine_patches,counter_rare_audio_rule_recover_windows,counter_rare_short_slow_rule_recover_windows,counter_slow_speaker_count,counter_slow_windows_selected,counter_window_clip_adjusted_segments,counter_window_clip_trimmed_ms,fast_der,fast_latency,final_der,final_segments,final_source,offset,recording_id,segment_idx,slow_latency,window_id,window_size
0,0,2,0,0,0,2,1,1,93,0.1112,0.37763261795043945,0.0778,10,slow,60.0,R8009_M8020,0,24.977536916732788,R8009_M8020:30:0,30
0,0,2,0,0,0,2,1,1,113,0.1045,0.3692460060119629,0.0175,8,slow,120.0,R8009_M8020,1,24.65415072441101,R8009_M8020:30:1,30
0,0,2,0,0,0,2,1,1,133,0.0744,0.36428093910217285,0.0482,7,slow,150.0,R8009_M8020,2,24.872403860092163,R8009_M8020:30:2,30
0,0,2,0,0,0,2,1,,,0.2328,0.3441290855407715,0.1681,9,slow,360.0,R8009_M8020,3,23.588134765625,R8009_M8020:30:3,30
0,0,1,0,0,0,1,1,1,93,0.0918,0.35888075828552246,0.0223,6,slow,540.0,R8009_M8020,4,27.66703224182129,R8009_M8020:30:4,30
0,0,2,0,0,0,2,1,1,73,0.105,0.3591649532318115,0.055,7,slow,690.0,R8009_M8020,5,24.504756927490234,R8009_M8020:30:5,30
0,0,2,0,0,0,2,1,1,133,0.1854,0.36258816719055176,0.0529,10,slow,720.0,R8009_M8020,6,24.64434814453125,R8009_M8020:30:6,30
0,0,2,0,0,0,2,1,,,0.1642,0.3680577278137207,0.042,12,slow,1050.0,R8009_M8020,7,27.252513885498047,R8009_M8020:30:7,30
0,0,2,0,0,0,2,1,1,133,0.1134,0.37407469749450684,0.0661,7,slow,1080.0,R8009_M8020,8,28.26235294342041,R8009_M8020:30:8,30
0,0,2,0,0,0,2,1,1,73,0.0744,0.37131500244140625,0.0189,7,slow,1170.0,R8009_M8020,9,28.096867084503174,R8009_M8020:30:9,30
0,0,2,0,0,0,2,1,1,93,0.1072,0.36793088912963867,0.0416,8,slow,1200.0,R8009_M8020,10,26.84298586845398,R8009_M8020:30:10,30
0,0,2,0,0,0,2,1,,,0.0836,0.36492204666137695,0.0483,7,slow,1350.0,R8009_M8020,11,26.095556259155273,R8009_M8020:30:11,30
0,0,2,0,0,0,2,1,1,32,0.3331,0.3610079288482666,0.0302,14,slow,1590.0,R8009_M8020,12,22.109567880630493,R8009_M8020:30:12,30
0,0,1,0,0,0,1,1,1,93,0.1099,0.38489389419555664,0.0812,7,slow,1770.0,R8009_M8020,13,21.84627413749695,R8009_M8020:30:13,30
0,0,1,0,0,0,1,1,,,0.1057,0.3636620044708252,0.0216,6,slow,1860.0,R8009_M8020,14,23.542829036712646,R8009_M8020:30:14,30
