base_der,beats_base,beats_slow,choice_counts,delta_vs_base,delta_vs_base_pp,delta_vs_slow,delta_vs_slow_pp,description,feature_a,feature_b,final_der,op_a,op_b,overlay_losses_vs_base,overlay_wins_vs_base,policy_id,policy_kind,selected,selected_window_details,selected_windows,slow_der,threshold_a,threshold_b,true_variant,windows
0.16590083333333333,True,True,"{'slow_base': 118, 'fast_base': 1, 'rule_recover_uncovered_only': 1}",0.0007083333333333108,0.07083333333333108,0.003616666666666657,0.3616666666666657,audio_speech_sec >= 18.605,audio_speech_sec,,0.16519250000000002,>=,,0,1,if_audio_speech_sec_>=_18.605_then_rule_recover_uncovered_only_else_default_guarded_selector,rare_overlay,1,"[{'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",1,0.16880916666666668,18.604999999999997,,rule_recover_uncovered_only,120
0.16590083333333333,True,True,"{'slow_base': 118, 'fast_base': 1, 'rule_recover_matched_label': 1}",0.0007083333333333108,0.07083333333333108,0.003616666666666657,0.3616666666666657,audio_speech_sec >= 18.605,audio_speech_sec,,0.16519250000000002,>=,,0,1,if_audio_speech_sec_>=_18.605_then_rule_recover_matched_label_else_default_guarded_selector,rare_overlay,1,"[{'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",1,0.16880916666666668,18.604999999999997,,rule_recover_matched_label,120
0.16590083333333333,True,True,"{'slow_base': 118, 'fast_base': 1, 'rule_recover_policy_sweep_best': 1}",0.0007083333333333108,0.07083333333333108,0.003616666666666657,0.3616666666666657,audio_speech_sec >= 18.605,audio_speech_sec,,0.16519250000000002,>=,,0,1,if_audio_speech_sec_>=_18.605_then_rule_recover_policy_sweep_best_else_default_guarded_selector,rare_overlay,1,"[{'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",1,0.16880916666666668,18.604999999999997,,rule_recover_policy_sweep_best,120
0.16590083333333333,True,True,"{'slow_base': 117, 'rule_recover_matched_label': 2, 'fast_base': 1}",0.0005416666666666625,0.05416666666666625,0.0034500000000000086,0.34500000000000086,audio_speech_sec >= 15.92 AND seg_diff <= -7,audio_speech_sec,seg_diff,0.16535916666666667,>=,<=,1,1,if_audio_speech_sec_>=_15.92_AND_seg_diff_<=_-7_then_rule_recover_matched_label_else_default_guarded_selector,rare_overlay,2,"[{'window_id': 'R8003_M8001:30:1', 'base_variant': 'slow_base', 'base_der': 0.0272, 'overlay_der': 0.0472, 'delta_vs_base_pp': -2.0}, {'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",2,0.16880916666666668,15.92,-7.0,rule_recover_matched_label,120
0.16590083333333333,True,True,"{'slow_base': 117, 'rule_recover_uncovered_only': 2, 'fast_base': 1}",0.0005408333333333237,0.05408333333333237,0.00344916666666667,0.344916666666667,audio_speech_sec >= 15.92 AND seg_diff <= -7,audio_speech_sec,seg_diff,0.16536,>=,<=,1,1,if_audio_speech_sec_>=_15.92_AND_seg_diff_<=_-7_then_rule_recover_uncovered_only_else_default_guarded_selector,rare_overlay,2,"[{'window_id': 'R8003_M8001:30:1', 'base_variant': 'slow_base', 'base_der': 0.0272, 'overlay_der': 0.0473, 'delta_vs_base_pp': -2.0100000000000002}, {'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",2,0.16880916666666668,15.92,-7.0,rule_recover_uncovered_only,120
0.16590083333333333,True,True,"{'slow_base': 117, 'rule_recover_policy_sweep_best': 2, 'fast_base': 1}",0.0005408333333333237,0.05408333333333237,0.00344916666666667,0.344916666666667,audio_speech_sec >= 15.92 AND seg_diff <= -7,audio_speech_sec,seg_diff,0.16536,>=,<=,1,1,if_audio_speech_sec_>=_15.92_AND_seg_diff_<=_-7_then_rule_recover_policy_sweep_best_else_default_guarded_selector,rare_overlay,2,"[{'window_id': 'R8003_M8001:30:1', 'base_variant': 'slow_base', 'base_der': 0.0272, 'overlay_der': 0.0473, 'delta_vs_base_pp': -2.0100000000000002}, {'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",2,0.16880916666666668,15.92,-7.0,rule_recover_policy_sweep_best,120
0.16590083333333333,True,True,"{'slow_base': 118, 'fast_base': 2}",0.0004925000000000068,0.04925000000000068,0.003400833333333353,0.3400833333333353,audio_speech_sec >= 18.605,audio_speech_sec,,0.16540833333333332,>=,,0,1,if_audio_speech_sec_>=_18.605_then_fast_base_else_default_guarded_selector,rare_overlay,1,"[{'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3675, 'delta_vs_base_pp': 5.909999999999998}]",1,0.16880916666666668,18.604999999999997,,fast_base,120
0.16590083333333333,True,True,"{'slow_base': 117, 'rule_recover_uncovered_only': 2, 'fast_base': 1}",0.000450833333333317,0.0450833333333317,0.003359166666666663,0.3359166666666663,audio_speech_sec >= 17.4,audio_speech_sec,,0.16545,>=,,1,1,if_audio_speech_sec_>=_17.4_then_rule_recover_uncovered_only_else_default_guarded_selector,rare_overlay,2,"[{'window_id': 'R8003_M8001:30:6', 'base_variant': 'slow_base', 'base_der': 0.0578, 'overlay_der': 0.0887, 'delta_vs_base_pp': -3.0900000000000003}, {'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",2,0.16880916666666668,17.4,,rule_recover_uncovered_only,120
0.16590083333333333,True,True,"{'slow_base': 117, 'rule_recover_matched_label': 2, 'fast_base': 1}",0.000450833333333317,0.0450833333333317,0.003359166666666663,0.3359166666666663,audio_speech_sec >= 17.4,audio_speech_sec,,0.16545,>=,,1,1,if_audio_speech_sec_>=_17.4_then_rule_recover_matched_label_else_default_guarded_selector,rare_overlay,2,"[{'window_id': 'R8003_M8001:30:6', 'base_variant': 'slow_base', 'base_der': 0.0578, 'overlay_der': 0.0887, 'delta_vs_base_pp': -3.0900000000000003}, {'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",2,0.16880916666666668,17.4,,rule_recover_matched_label,120
0.16590083333333333,True,True,"{'slow_base': 117, 'rule_recover_policy_sweep_best': 2, 'fast_base': 1}",0.000450833333333317,0.0450833333333317,0.003359166666666663,0.3359166666666663,audio_speech_sec >= 17.4,audio_speech_sec,,0.16545,>=,,1,1,if_audio_speech_sec_>=_17.4_then_rule_recover_policy_sweep_best_else_default_guarded_selector,rare_overlay,2,"[{'window_id': 'R8003_M8001:30:6', 'base_variant': 'slow_base', 'base_der': 0.0578, 'overlay_der': 0.0887, 'delta_vs_base_pp': -3.0900000000000003}, {'window_id': 'R8007_M8011:30:8', 'base_variant': 'slow_base', 'base_der': 0.4266, 'overlay_der': 0.3416, 'delta_vs_base_pp': 8.499999999999996}]",2,0.16880916666666668,17.4,,rule_recover_policy_sweep_best,120
