recording_id,window_size,segment_idx,fast_der,slow_der,fast_spk_count_pred,slow_spk_count_pred,gt_spk_count,fast_segments,slow_segments,fast_speech,slow_speech,gt_speech,fast_miss_sec,slow_recovers_fast_miss_sec,fast_miss_recovery_rate,fast_fa_sec,slow_suppresses_fast_fa_sec,fast_fa_suppression_rate,slow_added_fa_sec,fast_slow_disagreement_sec,fast_label_correct_overlap,slow_label_correct_overlap,label_correct_gain_sec,keep_fast_supported,boundary_fix_or_relabel,suppress_fast_candidate,recover_slow_segment,align_slow_segment
R8001_M8004,30,0,0.1265,0.0596,3,3,3,8,6,30.229999999999993,30.84,28.52,0.14,0.14,1.0,1.06,0.28,0.2641509433962264,0.0,0.42,28.02999999999999,29.49999999999999,1.4699999999999989,3,5,0,0,6
R8001_M8004,30,1,0.5786,0.0927,2,4,4,6,15,16.629999999999995,37.28,30.0,13.36,13.36,1.0,0.0,0.0,0.0,0.0,13.36,16.439999999999998,35.98750000000001,19.547500000000014,1,5,0,8,7
R8001_M8004,30,2,0.2913,0.1124,3,4,4,14,13,38.06999999999999,45.05999999999999,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.72,41.754999999999995,8.034999999999997,4,10,0,0,13
R8001_M8004,30,3,0.7742,0.1439,1,4,4,3,18,11.520000000000001,45.02000000000001,28.76,17.240000000000002,17.18,0.9965197215777261,0.0,0.0,0.0,0.4,17.580000000000002,10.73,42.102500000000006,31.372500000000006,3,0,0,12,6
R8001_M8004,30,4,0.1302,0.074,1,2,3,2,5,28.95,26.639999999999997,26.36,0.0,0.0,0.0,2.6,2.04,0.7846153846153846,0.0,2.7600000000000002,26.3,25.867500000000003,-0.43249999999999744,1,1,0,0,5
R8001_M8004,30,5,0.2661,0.1746,4,3,4,6,16,29.429999999999996,39.91999999999999,30.0,0.64,0.64,1.0,0.0,0.0,0.0,0.0,0.64,29.349999999999998,34.13499999999999,4.784999999999993,1,5,0,0,16
R8003_M8001,30,0,0.2002,0.1029,2,3,3,16,11,28.15,32.66,29.54,3.44,2.36,0.686046511627907,0.04,0.04,1.0,0.02,2.46,26.880000000000006,30.247500000000006,3.3674999999999997,2,14,0,1,10
R8003_M8001,30,1,0.0888,0.0279,2,3,3,8,10,29.11,31.140000000000004,28.82,1.74,1.74,1.0,0.2,0.2,1.0,0.04,2.02,28.559999999999995,30.395000000000007,1.8350000000000115,3,5,0,3,7
R8003_M8001,30,2,0.1873,0.1033,3,3,3,13,12,32.16,38.67999999999999,29.7,1.02,0.54,0.5294117647058824,0.1,0.04,0.39999999999999997,0.0,0.72,31.380000000000003,35.662499999999994,4.282499999999992,1,12,0,0,12
R8003_M8001,30,3,0.0887,0.0578,3,3,3,5,7,31.749999999999996,30.719999999999995,27.76,0.0,0.0,0.0,1.2,0.74,0.6166666666666667,0.0,1.16,30.149999999999995,30.0525,-0.09749999999999659,3,2,0,0,7
R8003_M8001,30,4,0.2255,0.1496,2,3,4,15,9,28.54,32.599999999999994,27.16,1.84,1.82,0.9891304347826086,0.14,0.08,0.5714285714285714,0.68,2.58,27.520000000000003,30.695,3.174999999999997,1,14,0,1,8
R8003_M8001,30,5,3.2459,3.5949,2,2,2,14,5,24.790000000000003,29.38,6.68,0.74,0.74,1.0,18.72,0.0,0.0,2.22,2.98,3.7900000000000005,4.997499999999997,1.2074999999999965,0,14,0,1,4
R8007_M8010,30,0,0.3188,0.2507,4,3,4,13,19,37.03000000000001,48.36,30.0,0.16,0.08,0.5,0.0,0.0,0.0,0.0,0.26,34.949999999999996,39.99499999999999,5.044999999999995,4,9,0,0,19
R8007_M8010,30,1,0.2853,0.2717,3,3,4,19,24,46.21999999999999,54.179999999999986,29.98,0.48,0.14,0.2916666666666667,0.02,0.0,0.0,0.0,0.76,43.08999999999999,44.585,1.4950000000000117,4,15,0,0,24
R8007_M8010,30,2,0.2749,0.1964,3,4,4,23,21,45.75,53.59999999999999,29.16,0.18,0.18,1.0,0.46,0.38,0.8260869565217391,0.06,0.64,41.629999999999995,47.3575,5.727500000000006,4,19,0,0,21
R8007_M8010,30,3,0.3502,0.3019,3,3,4,17,15,37.510000000000005,50.94000000000001,29.64,0.0,0.0,0.0,0.36,0.3,0.8333333333333334,0.0,0.32,36.150000000000006,40.13250000000001,3.9825000000000017,0,17,0,0,15
