recording_id,window_size,segment_idx,fast_der,slow_der,fast_spk_count_pred,slow_spk_count_pred,gt_spk_count,fast_segments,slow_segments,fast_speech,slow_speech,gt_speech,fast_miss_sec,slow_recovers_fast_miss_sec,fast_miss_recovery_rate,fast_fa_sec,slow_suppresses_fast_fa_sec,fast_fa_suppression_rate,slow_added_fa_sec,fast_slow_disagreement_sec,fast_label_correct_overlap,slow_label_correct_overlap,label_correct_gain_sec,keep_fast_supported,boundary_fix_or_relabel,suppress_fast_candidate,recover_slow_segment,align_slow_segment
R8001_M8004,30,0,0.229,0.0891,2,3,3,8,7,28.32,32.78,28.66,1.36,0.12,0.08823529411764705,0.38,0.14,0.368421052631579,0.16,0.86,26.069999999999997,31.547499999999996,5.477499999999999,1,7,0,0,7
R8001_M8004,30,1,0.4329,0.2578,2,3,4,6,10,27.189999999999998,33.64,29.78,2.8000000000000003,2.8000000000000003,1.0,0.22,0.18,0.8181818181818181,0.0,3.46,20.089999999999996,26.5575,6.467500000000005,1,5,0,1,9
R8001_M8004,30,2,0.216,0.0935,3,4,3,14,9,24.629999999999992,28.539999999999996,27.2,3.64,3.24,0.8901098901098902,0.6,0.34,0.5666666666666668,0.3,3.9,23.859999999999992,27.594999999999995,3.735000000000003,3,10,1,1,8
R8001_M8004,30,3,0.2329,0.0417,3,3,2,15,9,27.98,31.38,28.12,2.46,2.46,1.0,0.88,0.78,0.8863636363636364,0.04,3.34,25.6,30.407500000000002,4.807500000000001,1,13,1,2,7
R8001_M8004,30,4,0.8448,0.3244,1,3,4,2,24,7.6800000000000015,46.50000000000001,30.0,22.32,22.3,0.9991039426523297,0.0,0.0,0.0,0.0,22.3,7.560000000000002,34.362500000000004,26.802500000000002,1,1,0,14,10
R8001_M8004,30,5,0.8178,0.2321,1,4,4,3,18,10.0,49.5,29.14,19.14,19.14,1.0,0.0,0.0,0.0,0.02,19.16,9.970000000000002,44.295,34.325,1,2,0,10,8
R8001_M8004,30,6,0.7177,0.3184,1,4,4,4,21,23.52,48.40000000000002,30.0,6.48,6.44,0.9938271604938271,0.0,0.0,0.0,0.0,6.44,14.96,39.32,24.36,1,3,0,6,15
R8001_M8004,30,7,0.1841,0.0732,4,3,4,13,11,24.39,27.18,25.84,2.82,2.22,0.7872340425531916,0.36,0.34,0.9444444444444445,0.06,2.72,23.63,26.34,2.710000000000001,5,8,0,1,10
R8001_M8004,30,8,0.5783,0.2471,2,3,4,8,14,22.720000000000002,46.480000000000004,30.0,7.24,7.16,0.988950276243094,0.0,0.0,0.0,0.0,7.36,22.720000000000002,41.1075,18.3875,0,8,0,5,9
R8001_M8004,30,9,0.8858,0.122,1,4,4,4,17,5.430000000000002,42.879999999999995,30.0,24.560000000000002,24.560000000000002,1.0,0.0,0.0,0.0,0.0,24.560000000000002,5.289999999999998,41.334999999999994,36.044999999999995,0,4,0,11,6
R8001_M8004,30,10,0.2838,0.1242,3,4,4,16,19,29.029999999999998,36.94,28.64,2.82,2.5,0.8865248226950355,0.12,0.02,0.16666666666666669,0.04,2.56,28.189999999999994,35.107500000000016,6.917500000000022,4,12,0,2,17
R8001_M8004,30,11,0.2661,0.1746,4,3,4,6,16,29.429999999999996,39.91999999999999,30.0,0.64,0.64,1.0,0.0,0.0,0.0,0.0,0.64,29.349999999999998,34.13499999999999,4.784999999999993,1,5,0,0,16
