recording_id,window_size,segment_idx,source,patch_type,segment_id,start,end,speaker,matched_source,matched_speaker,overlap_sec,support_ratio,gt_overlap_sec,gt_support_ratio
R8001_M8004,30,0,fast,keep_fast_supported,fast_0,0.0,15.36,speaker_0,slow,2,15.16,0.987,14.63,0.9525
R8001_M8004,30,0,fast,keep_fast_supported,fast_1,16.24,21.04,speaker_0,slow,2,4.5125,0.9401,5.36,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_2,27.44,28.32,speaker_0,slow,0,0.88,1.0,0.9,1.0
R8001_M8004,30,0,fast,keep_fast_supported,fast_3,15.28,16.4,speaker_1,slow,1,1.0725,0.9576,1.24,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_4,21.52,22.08,speaker_1,slow,1,0.56,1.0,0.56,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_5,22.32,22.56,speaker_1,slow,1,0.24,1.0,0.48,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_6,22.16,27.76,speaker_2,slow,0,5.5475,0.9906,6.28,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_7,28.32,29.99,speaker_2,slow,0,1.67,1.0,1.93,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_0,0.0125,15.1725,2,fast,speaker_0,15.16,1.0,14.4775,0.955
R8001_M8004,30,0,slow,align_slow_segment,slow_1,15.192499999999999,16.3525,1,fast,speaker_1,1.0725,0.9246,1.205,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_2,16.2125,20.7525,2,fast,speaker_0,4.5125,0.9939,5.3875,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_3,21.4725,22.8925,1,fast,speaker_2,0.7325,0.5158,2.0825,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_4,22.2125,30.3925,0,fast,speaker_2,5.5475,0.6782,8.7475,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_5,28.2725,28.6525,1,fast,speaker_2,0.3325,0.875,0.66,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_0,0.0,2.4,speaker_0,slow,3,2.3875,0.9948,2.4,1.0
