recording_id,window_size,segment_idx,source,patch_type,segment_id,start,end,speaker,matched_source,matched_speaker,overlap_sec,support_ratio,gt_overlap_sec,gt_support_ratio
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_0,0.0,9.92,speaker_0,slow,1,9.9075,0.9987,12.3,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_1,11.2,18.16,speaker_0,slow,1,6.8325,0.9817,7.71,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_2,18.96,22.08,speaker_0,slow,1,3.12,1.0,2.87,0.9199
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_3,22.24,22.96,speaker_0,slow,1,0.5125,0.7118,0.82,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_4,4.64,4.8,speaker_1,slow,1,0.16,1.0,0.32,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_5,5.2,5.68,speaker_1,slow,1,0.48,1.0,0.96,1.0
R8001_M8004,30,0,fast,boundary_fix_or_relabel,fast_6,9.92,11.12,speaker_1,slow,1,1.2,1.0,2.4,1.0
R8001_M8004,30,0,fast,keep_fast_supported,fast_7,23.76,29.52,speaker_1,slow,2,5.48,0.9514,5.74,0.9965
R8001_M8004,30,0,slow,align_slow_segment,slow_0,0.0125,18.0325,1,fast,speaker_0,9.9075,0.5498,22.43,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_1,4.4725,6.6325,0,fast,speaker_0,2.16,1.0,4.3,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_2,9.6525,11.9525,0,fast,speaker_1,1.2,0.5217,4.57,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_3,18.9325,22.7525,1,fast,speaker_0,3.12,0.8168,3.64,0.9529
R8001_M8004,30,0,slow,align_slow_segment,slow_4,19.0925,19.7925,0,fast,speaker_0,0.7,1.0,0.7,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_5,22.4125,22.7125,0,fast,speaker_0,0.3,1.0,0.5375,1.0
R8001_M8004,30,0,slow,align_slow_segment,slow_6,23.7925,29.2725,2,fast,speaker_1,5.48,1.0,5.48,1.0
R8001_M8004,30,1,fast,keep_fast_supported,fast_0,0.0,6.32,speaker_0,slow,1,6.3075,0.998,6.58,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_1,6.4,16.4,speaker_0,slow,2,9.5675,0.9568,10.9,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_2,16.96,19.6,speaker_0,slow,2,2.64,1.0,2.64,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_3,21.2,21.84,speaker_0,slow,0,0.64,1.0,1.28,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_4,22.0,22.24,speaker_0,slow,0,0.24,1.0,0.24,1.0
R8001_M8004,30,1,fast,boundary_fix_or_relabel,fast_5,22.64,29.99,speaker_1,slow,1,6.82,0.9279,8.63,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_0,0.0125,6.572500000000001,1,fast,speaker_0,6.3075,0.9615,7.0075,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_1,6.0525,6.3925,0,fast,speaker_0,0.2675,0.7868,0.6725,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_2,6.8325000000000005,21.5525,2,fast,speaker_0,9.5675,0.65,17.8925,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_3,9.372499999999999,9.712500000000002,0,fast,speaker_0,0.34,1.0,0.6725,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_4,16.0325,16.9725,0,fast,speaker_0,0.3675,0.391,1.85,1.0
R8001_M8004,30,1,slow,recover_slow_segment,slow_5,20.1325,23.2125,0,fast,speaker_0,0.64,0.2078,5.4325,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_6,22.7525,29.5725,1,fast,speaker_1,6.82,1.0,8.1,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_7,23.5925,23.8725,0,fast,speaker_1,0.28,1.0,0.28,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_8,24.6725,24.9525,0,fast,speaker_1,0.28,1.0,0.5,1.0
R8001_M8004,30,1,slow,align_slow_segment,slow_9,26.8725,27.1525,0,fast,speaker_1,0.28,1.0,0.5375,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_0,0.0,0.56,speaker_0,slow,1,0.5475,0.9777,0.95,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_1,6.4,7.12,speaker_0,slow,2,0.72,1.0,0.72,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_2,7.76,9.52,speaker_0,slow,2,1.76,1.0,1.76,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_3,10.4,12.0,speaker_0,slow,2,1.6,1.0,1.6,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_4,12.72,18.56,speaker_0,slow,2,5.84,1.0,5.6,0.9589
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_5,18.8,22.32,speaker_0,slow,2,3.4125,0.9695,3.64,1.0
R8001_M8004,30,2,fast,keep_fast_supported,fast_6,23.44,23.52,speaker_0,slow,2,0.08,1.0,0.16,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_7,27.12,27.36,speaker_0,slow,3,0.24,1.0,0.48,1.0
R8001_M8004,30,2,fast,suppress_fast_candidate,fast_8,28.88,29.12,speaker_0,,,0.0,0.0,0.0,0.0
R8001_M8004,30,2,fast,keep_fast_supported,fast_9,29.52,29.99,speaker_0,slow,2,0.47,1.0,0.47,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_10,0.16,2.72,speaker_1,slow,1,2.56,1.0,2.79,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_11,2.88,5.92,speaker_1,slow,1,3.0125,0.991,3.28,1.0
R8001_M8004,30,2,fast,keep_fast_supported,fast_12,22.72,23.2,speaker_1,slow,1,0.48,1.0,0.96,1.0
R8001_M8004,30,2,fast,boundary_fix_or_relabel,fast_13,23.68,27.2,speaker_2,slow,3,3.52,1.0,3.82,1.0
R8001_M8004,30,2,slow,align_slow_segment,slow_0,0.0125,0.4525,2,fast,speaker_0,0.44,1.0,0.8175,1.0
R8001_M8004,30,2,slow,align_slow_segment,slow_1,0.0125,5.8925,1,fast,speaker_1,3.0125,0.5123,6.525,1.0
R8001_M8004,30,2,slow,align_slow_segment,slow_2,6.3325000000000005,22.2125,2,fast,speaker_0,5.84,0.3678,15.5925,0.9819
