avg_conf_rate,avg_der,avg_fa_rate,avg_miss_rate,avg_pred_segments,avg_pred_speech_sec,counters,policy,policy_id,success_windows,windows
0.049790000000000015,0.16880916666666668,0.06916249999999999,0.049854166666666665,11.283333333333333,34.760937500000004,{},"{""base"": ""slow""}",slow,120,120
0.04914500000000001,0.16883500000000004,0.06840749999999997,0.051278333333333335,10.483333333333333,34.680041666666675,{'drop_short': 96},"{""base"": ""slow"", ""min_duration"": 0.2}",slow__min_duration0p2,120,120
0.04963583333333336,0.16888083333333329,0.06954583333333329,0.04969416666666667,10.916666666666666,34.781937500000005,{'merge_removed': 44},"{""base"": ""slow"", ""merge_gap"": 0.1}",slow__merge_gap0p1,120,120
0.049653333333333355,0.1693508333333333,0.0705383333333333,0.04915833333333333,10.575,34.83727083333335,{'merge_removed': 85},"{""base"": ""slow"", ""merge_gap"": 0.2}",slow__merge_gap0p2,120,120
0.04737500000000001,0.1719308333333334,0.06504999999999997,0.05951166666666667,9.075,34.23760416666667,{'drop_short': 265},"{""base"": ""slow"", ""min_duration"": 0.4}",slow__min_duration0p4,120,120
0.04717000000000002,0.17745166666666673,0.06707416666666667,0.06320083333333334,10.25,34.1140625,{'drop_low_fast_overlap_sec': 124},"{""base"": ""slow"", ""min_fast_overlap_sec"": 0.05}",slow__min_fast_overlap_sec0p05,120,120
0.04730083333333336,0.17747916666666672,0.06721749999999999,0.06295666666666667,10.566666666666666,34.12789583333333,{'drop_low_fast_overlap_ratio': 86},"{""base"": ""slow"", ""min_fast_overlap_ratio"": 0.05}",slow__min_fast_overlap_ratio0p05,120,120
0.04666416666666668,0.17748916666666673,0.06684749999999999,0.06397083333333334,10.075,34.07866666666667,{'drop_low_fast_overlap_sec': 145},"{""base"": ""slow"", ""min_fast_overlap_sec"": 0.1}",slow__min_fast_overlap_sec0p1,120,120
0.04691000000000003,0.18649750000000004,0.06708833333333333,0.07249666666666667,10.483333333333333,33.71383333333334,{'drop_low_fast_overlap_ratio': 96},"{""base"": ""slow"", ""min_fast_overlap_ratio"": 0.1}",slow__min_fast_overlap_ratio0p1,120,120
0.046844166666666694,0.1947041666666667,0.066565,0.08129166666666672,10.691666666666666,32.88095833333334,{'cap_drop': 71},"{""base"": ""slow"", ""cap_action"": ""drop_unsupported"", ""max_speech_ratio"": 1.4}",slow__max_speech_ratio1p4__cap_actiondrop_unsupported,120,120
0.039323333333333356,0.2093175,0.065625,0.10436666666666677,10.516666666666667,31.74970833333334,{'cap_fast_fallback': 21},"{""base"": ""slow"", ""cap_action"": ""fast"", ""max_speech_ratio"": 1.4}",slow__max_speech_ratio1p4__cap_actionfast,120,120
0.044096666666666694,0.24012083333333326,0.06313916666666666,0.13288833333333336,10.125,30.461520833333335,{'cap_drop': 139},"{""base"": ""slow"", ""cap_action"": ""drop_unsupported"", ""max_speech_ratio"": 1.2}",slow__max_speech_ratio1p2__cap_actiondrop_unsupported,120,120
0.035080000000000014,0.2405575,0.06193499999999999,0.1435416666666668,10.033333333333333,30.140645833333334,{'cap_fast_fallback': 43},"{""base"": ""slow"", ""cap_action"": ""fast"", ""max_speech_ratio"": 1.2}",slow__max_speech_ratio1p2__cap_actionfast,120,120
0.03198083333333334,0.28563749999999977,0.05408166666666665,0.19956583333333353,10.883333333333333,28.303416666666674,{'fast_fallback': 120},"{""base"": ""fast""}",fast,120,120
